T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-2.505	-4.824	-4.117	-5.757	43.616	79.869	41.448	49.491
-3.326	-5.323	-3.038	-4.535	79.844	99.613	27.505	46.567
-1.221	-2.551	-2.105	-4.531	100.382	121.307	191.801	299.226
-1.249	-2.572	-1.753	-4.479	118.662	136.505	111.243	141.208
-1.744	-4.147	-3.688	-4.900	87.555	218.015	105.353	198.835
-1.812	-3.894	-3.040	-4.921	49.581	64.472	164.240	224.551
-1.743	-3.071	-2.476	-5.198	59.323	157.435	111.143	233.811
-1.674	-1.500	-1.591	-4.620	304.058	253.449	52.118	71.084
-0.935	-2.676	-1.911	-3.993	208.398	247.287	168.431	277.642
-4.184	-7.437	-6.835	-7.611	45.850	127.068	44.367	73.502
-3.940	-5.047	-5.003	-7.118	51.495	61.762	106.312	174.123
-1.275	-2.087	-1.513	-4.436	105.403	73.468	169.044	410.414
-6.628	-8.749	-7.765	-10.150	75.972	155.746	34.509	62.158
-2.485	-5.476	-3.918	-6.779	34.259	52.544	102.270	169.580
-4.614	-4.916	-5.403	-8.257	40.216	56.144	29.069	93.623
-1.986	-3.130	-3.534	-3.660	45.864	75.828	80.449	100.765
-2.115	-6.187	-5.176	-6.554	48.169	79.758	196.545	234.927
-2.728	-4.062	-3.318	-6.031	43.709	44.681	95.125	163.945
-6.497	-4.403	-6.976	-7.647	92.559	53.694	180.130	213.118
-2.548	-4.382	-3.733	-5.275	70.968	155.447	50.867	94.122
-1.742	-4.170	-3.910	-5.539	28.454	75.709	151.492	265.690
-1.879	-4.604	-5.362	-7.971	35.548	93.089	394.169	620.529
-2.330	-3.773	-2.939	-5.753	76.510	107.557	32.478	71.710
-7.774	-6.279	-8.193	-9.885	435.682	225.700	45.331	38.641
-1.321	-3.158	-2.764	-4.654	80.939	120.723	49.015	86.335
-1.086	-2.637	-1.767	-4.706	121.511	127.590	69.825	125.651
-5.763	-7.554	-6.303	-9.614	105.084	116.553	16.905	40.111
-4.964	-6.442	-5.574	-7.957	36.176	16.549	185.141	319.046
-2.046	-3.607	-3.758	-6.094	65.821	67.232	62.056	103.276
-1.593	-4.414	-3.356	-5.266	87.349	164.403	102.360	127.767
-1.347	-2.436	-1.736	-4.706	100.805	107.928	158.539	311.434
