#T_CH1	T_CH2	T_CH3	T_CH4	A_CH1	A_CH2	A_CH3	A_CH4
-5.468	-3.654	-5.619	-4.677	195.336	57.590	68.310	50.021
-4.007	-1.819	-4.779	-2.925	263.034	64.590	169.512	116.158
-4.084	-1.846	-4.036	-5.202	125.346	62.635	58.880	91.819
-4.913	-3.606	-4.147	-6.078	196.912	125.930	65.224	36.684
-1.784	-2.360	-3.464	-3.236	89.561	77.320	155.434	174.790
-2.621	-2.287	-3.188	-3.381	72.328	51.037	68.718	73.121
-4.006	-1.940	-2.841	-5.435	182.327	39.798	92.063	226.394
-9.426	-10.262	-11.562	-11.344	21.866	50.264	70.504	86.085
-0.885	-2.024	-3.099	-2.639	142.799	123.066	71.066	52.598
-4.810	-5.676	-4.861	-5.838	100.395	88.408	42.585	62.349
-2.501	-2.256	-3.831	-4.002	97.379	63.410	93.661	103.148
-1.718	-2.092	-2.822	-3.350	84.442	67.884	57.437	57.461
-5.830	-7.691	-8.509	-6.986	36.020	32.940	91.558	65.562
-3.754	-2.128	-4.542	-5.147	104.735	56.594	208.376	199.116
-1.612	-1.500	-2.673	-2.622	164.262	101.353	84.744	85.671
-6.380	-6.824	-8.535	-5.278	121.083	89.500	49.377	38.012
-1.193	-2.855	-4.269	-2.273	126.302	144.085	262.287	230.948
-6.564	-4.988	-7.129	-8.073	79.660	28.266	31.574	44.261
-2.712	-1.967	-4.671	-2.898	186.685	90.997	199.748	180.119
-1.933	-3.435	-5.444	-3.260	94.984	110.884	272.395	210.229
-4.785	-1.729	-3.472	-4.971	154.194	24.298	83.521	98.165
-3.280	-2.207	-4.159	-6.167	-23.453	44.480	196.357	269.078
-1.364	-2.706	-3.929	-2.724	76.714	70.495	88.833	104.394
-3.639	-1.509	-2.836	-4.758	170.609	64.385	203.379	313.783
-1.029	-1.979	-3.254	-2.822	150.853	71.205	252.257	217.026
-2.512	-4.476	-5.783	-3.443	74.212	118.647	258.131	145.110
-1.730	-2.374	-3.024	-3.798	76.346	56.069	196.457	238.883
-3.763	-1.443	-3.710	-5.768	245.212	99.792	107.734	200.746
-2.182	-1.647	-3.775	-3.340	125.624	91.239	42.503	55.377
-4.307	-2.964	-6.066	-4.888	165.435	65.656	122.778	94.883
-8.554	-7.713	-9.412	-9.473	109.006	52.044	39.482	51.148
-3.406	-2.518	-4.427	-4.663	112.536	35.782	55.697	65.838
-2.166	-3.141	-3.716	-3.844	109.034	59.971	61.357	35.312
-5.144	-4.911	-7.841	-6.540	70.327	59.624	259.762	243.974
-3.906	-1.243	-2.491	-5.480	398.592	117.938	43.853	125.213
-3.843	-3.632	-4.741	-5.138	107.394	55.537	93.641	89.957
-5.783	-5.600	-7.016	-6.903	114.426	44.412	37.410	43.302
-1.261	-3.466	-4.940	-2.460	86.359	188.180	74.088	69.524
-1.639	-4.057	-3.424	-3.898	60.880	86.163	257.097	264.060
-1.647	-1.932	-3.395	-3.259	59.092	55.369	223.177	196.023
-1.646	-4.029	-5.388	-3.129	68.300	101.890	190.140	149.550
